1. Profit Margins by Category,,,,,
ProductCategory,TotalRevenue,TotalProfit,ProfitMargin,,
18-09-2023,1000,,,,
19-09-2023,160,,,,
21-09-2023,105,,,,
22-09-2023,140,,,,
23-09-2023,100,,,,
24-09-2023,390,,,,
25-09-2023,1090,,,,
26-09-2023,100,,,,
28-09-2023,425,,,,
29-09-2023,2550,,,,
30-09-2023,2900,,,,
01-10-2023,2800,,,,
02-10-2023,1245,,,,
03-10-2023,2170,,,,
04-10-2023,3010,,,,
05-10-2023,530,,,,
06-10-2023,1500,,,,
07-10-2023,2500,,,,
08-10-2023,2025,,,,
09-10-2023,195,,,,
10-10-2023,2120,,,,
11-10-2023,2250,,,,
12-10-2023,475,,,,
13-10-2023,1175,,,,
14-10-2023,110,,,,
15-10-2023,1500,,,,
16-10-2023,2860,,,,
17-10-2023,175,,,,
18-10-2023,2025,,,,
19-10-2023,1860,,,,
20-10-2023,50,,,,
21-10-2023,50,,,,
22-10-2023,1950,,,,
23-10-2023,800,,,,
24-10-2023,2200,,,,
25-10-2023,3500,,,,
26-10-2023,740,,,,
27-10-2023,3650,,,,
29-10-2023,1250,,,,
30-10-2023,75,,,,
31-10-2023,1790,,,,
01-11-2023,1450,,,,
02-11-2023,1915,,,,
03-11-2023,1200,,,,
04-11-2023,500,,,,
05-11-2023,1800,,,,
06-11-2023,2700,,,,
07-11-2023,1560,,,,
08-11-2023,210,,,,
09-11-2023,3100,,,,
10-11-2023,115,,,,
12-11-2023,225,,,,
13-11-2023,1225,,,,
14-11-2023,1080,,,,
15-11-2023,1630,,,,
16-11-2023,1500,,,,
17-11-2023,2610,,,,
18-11-2023,1130,,,,
19-11-2023,300,,,,
20-11-2023,50,,,,
21-11-2023,1060,,,,
22-11-2023,2200,,,,
23-11-2023,1590,,,,
24-11-2023,1110,,,,
25-11-2023,150,,,,
26-11-2023,1600,,,,
27-11-2023,235,,,,
28-11-2023,390,,,,
29-11-2023,1825,,,,
30-11-2023,460,,,,
01-12-2023,110,,,,
02-12-2023,3030,,,,
03-12-2023,600,,,,
04-12-2023,1730,,,,
05-12-2023,2475,,,,
06-12-2023,2940,,,,
07-12-2023,1400,,,,
08-12-2023,2800,,,,
09-12-2023,3925,,,,
10-12-2023,1420,,,,
11-12-2023,950,,,,
12-12-2023,200,,,,
13-12-2023,725,,,,
14-12-2023,660,,,,
15-12-2023,2050,,,,
16-12-2023,1130,,,,
17-12-2023,1500,,,,
18-12-2023,2250,,,,
19-12-2023,790,,,,
20-12-2023,1350,,,,
21-12-2023,300,,,,
22-12-2023,1000,,,,
23-12-2023,1850,,,,
24-12-2023,200,,,,
25-12-2023,1200,,,,
26-12-2023,1880,,,,
27-12-2023,700,,,,
28-12-2023,2075,,,,
29-12-2023,3400,,,,
31-12-2023,50,,,,
01-01-2024,1530,,,,
,,,,,
6. Identifying Slow-Moving Categories,,,,,
ProductCategory,DaysSold,TotalUnitsSold,AvgDailyUnits,,
Beauty,204,771,3.78,,
Clothing,232,894,3.85,,
Electronics,219,849,3.88,,
